, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
4,2 days ago,1,1, New York ,2750,725,NY ,10026,40 W 116th St APT B501
7,3 days ago,1,1, New York ,2900,970,NY ,10026,1400 5th Ave APT 3A
16,6 days ago,1,2, New York ,2520,700,NY ,10026,279 W 119th St APT 5A
22,9 days ago,1,1, New York ,1850,900,NY ,10026,81 W 119th St # 1
5,18 hours ago,1,2, New York ,2695,850,NY ,10027,3161 Broadway APT 3B
10,21 hours ago,1,2, New York ,3000,800,NY ,10027,3117 Broadway APT 8G
11,23 hours ago,1,3, New York ,3413,1400,NY ,10027,244 W 122nd St APT 3B
15,1 day ago,2,2, New York ,5500,1377,NY ,10027,129 W 123rd St # 8
19,3 days ago,1,1, New York ,1850,900,NY ,10027,160 W 123rd St APT 4
22,4 days ago,2,3, New York ,6477,2200,NY ,10027,149 W 120th St APT 1
24,4 days ago,2,3, New York ,3895,1700,NY ,10027,128 W 129th St APT 2
25,4 days ago,1,2, New York ,3100,675,NY ,10027,3155 Broadway APT 16
4,4 days ago,1,1, New York ,2400,750,NY ,10030,229 W 139th St APT 1
10,11 days ago,3,2, New York ,4500,1600,NY ,10030,206 W 139th St APT 1
25,15 days ago,1,2, New York ,1850,600,NY ,10030,2593 Frederick Douglass Blvd APT 10
26,15 days ago,1,1, New York ,1800,700,NY ,10030,218 Edgecombe Ave # 2
2,6 days ago,1,2, New York ,2650,749,NY ,10037,630 Lenox Ave APT 16D
10,10 days ago,1,2, New York ,2795,950,NY ,10037,13 E 131st St APT 5A
13,13 days ago,1,1, New York ,2000,900,NY ,10037,14 E 130th St # 2
19,20 days ago,1,3, New York ,2900,1100,NY ,10037,48 W 130th St APT 2
5,5 days ago,1,1, New York ,1600,500,NY ,10039,141 W 145th St APT 5
13,12 days ago,1,1, New York ,1880,800,NY ,10039,305 W 149th St APT 2B
14,12 days ago,1,2, New York ,2260,950,NY ,10039,304 W 149th St APT 4D
8,22 hours ago,1,2, New York ,3795,800,NY ,10001,819 6th Ave APT 3B
17,2 days ago,2,5, New York ,10000,2500,NY ,10001,263 W 30th St FL 3
22,3 days ago,1,1, New York ,3650,800,NY ,10001,W 31st St
15,20 hours ago,1,1, New York ,3200,225,NY ,10011,123 Waverly Pl APT 4C
17,21 hours ago,1,1, New York ,3800,709,NY ,10011,170 W 23rd St
18,22 hours ago,1,1, New York ,4300,800,NY ,10011,435 W 23rd St APT 14A
22,1 day ago,1,1, New York ,3675,720,NY ,10011,300 W 21st St APT 33
26,1 day ago,1,1, New York ,7500,1050,NY ,10011,27 W 9th St APT 2
20,13 days ago,1,1, New York ,2750,600,NY ,10018,506 9th Ave APT 4RN
21,20 hours ago,1,2, New York ,3700,1000,NY ,10019,W 55th St
21,1 day ago,1,1, New York ,1950,525,NY ,10036,429 W 46th St APT 1E
22,1 day ago,2,2, New York ,4595,1122,NY ,10036,517 W 46th St APT 202
2,2 hours ago,1,2, New York ,2700,735,NY ,10029,1st Ave
3,3 hours ago,1,2, New York ,2650,735,NY ,10029,1st Ave
4,3 hours ago,1,3, New York ,3235,990,NY ,10029,1st Ave
5,3 hours ago,1,2, New York ,2595,735,NY ,10029,1st Ave
13,1 day ago,1,2, New York ,2450,750,NY ,10029,122 E 102nd St APT 4A
19,2 days ago,1,2, New York ,3200,950,NY ,10029,1642 Madison Ave # 2A
4,3 days ago,1,2, New York ,2425,1000,NY ,10035,64 E 119th St FL 3
7,7 days ago,1,2, New York ,2450,750,NY ,10035,1990 Lexington Ave APT 32E
15,9 days ago,1,1, New York ,1675,900,NY ,10035,2310 1st Ave APT 4S
16,9 days ago,1,1, New York ,2695,750,NY ,10035,346 E 119th St APT 3B
24,14 days ago,2,4, New York ,3600,1200,NY ,10035,302 Pleasant Ave # 7
26,15 days ago,1,1, New York ,2450,810,NY ,10035,232 E 118th St APT 5B
5,3 hours ago,1,2, New York ,3995,900,NY ,10010,132 E 24th St # 1
9,1 day ago,2,3, New York ,4700,800,NY ,10010,256 3rd Ave APT 2
12,1 day ago,1,1, New York ,4200,750,NY ,10010,45 E 25th St APT 12B
20,1 day ago,2,2, New York ,5682,943,NY ,10010,350 1st Ave APT 14F
12,3 hours ago,1,2, New York ,3700,800,NY ,10016,208 E 28th St APT 5L
21,8 hours ago,4,3, New York ,7950,2200,NY ,10016,248 E 31st St # 2A
20,2 days ago,1,1, New York ,2850,565,NY ,10017,333 E 45th St APT 10C
21,1 day ago,3,3, New York ,9500,2400,NY ,10022,306 E 52nd St
26,2 days ago,1,1, New York ,2600,550,NY ,10022,405 E 51st St APT 1G
0,1 hour ago,2,2, New York ,12000,1700,NY ,10012,133 Mercer St FL 4
5,8 hours ago,1,2, New York ,4095,700,NY ,10012,200 Bowery # B
7,22 hours ago,2,4, New York ,8400,1800,NY ,10012,352 Bowery # 2
15,1 day ago,2,2, New York ,9500,935,NY ,10012,250 Bowery APT 3A
16,2 days ago,1,2, New York ,4050,404,NY ,10013,212 Grand St APT 6A
23,3 days ago,2,2, New York ,8995,1240,NY ,10013,311 W Broadway APT 7C
19,4 days ago,1,2, New York ,2000,746,NY ,10031,615 W 143rd St APT 35
22,5 days ago,1,2, New York ,2299,750,NY ,10031,615 W 135th St APT 52
24,8 days ago,2,3, New York ,3300,1066,NY ,10031,479 W 152nd St APT 4B
2,6 hours ago,1,2, New York ,2250,650,NY ,10032,512 W 158th St APT 1
7,1 day ago,1,1, New York ,2000,581,NY ,10032,775 Riverside Dr APT 2A
9,1 day ago,1,3, New York ,3095,1100,NY ,10032,664 W 163rd St APT 66A
16,3 days ago,3,3, New York ,8000,1600,NY ,10032,420 W 163rd St # 7A
17,4 days ago,1,1, New York ,1625,465,NY ,10032,559 W 164th St APT 6C
21,6 days ago,1,3, New York ,3295,1500,NY ,10032,530 W 157th St APT 6E
1,9 hours ago,1,1, New York ,1800,650,NY ,10033,400 Fort Washington Ave APT 1F
6,1 day ago,1,1, New York ,1800,700,NY ,10033,511 W 181st St APT 32
8,2 days ago,2,3, New York ,3534,1360,NY ,10033,700 W 180th St APT 26
21,9 days ago,1,1, New York ,1700,620,NY ,10033,700 W 176th St APT 4J
26,14 days ago,1,1, New York ,1600,700,NY ,10033,1320 Riverside Dr APT 5M
24,14 days ago,1,2, New York ,2500,900,NY ,10034,133 Seaman Ave APT 6G
2,1 day ago,1,2, New York ,2650,850,NY ,10040,700 Fort Washington Ave # 3IS
4,1 day ago,1,1, New York ,1895,600,NY ,10040,4501 Broadway APT 6H
6,3 days ago,1,2, New York ,3200,1000,NY ,10040,282 Cabrini Blvd # 1SG
11,8 days ago,1,1, New York ,1425,500,NY ,10040,200 Dyckman St APT 5H
25,16 days ago,1,2, New York ,1895,800,NY ,10040,1 Arden St APT 315
6,4 hours ago,1,1, New York ,3095,700,NY ,10002,153 Essex St APT 3C
15,Updated yesterday,2,3, New York ,5000,650,NY ,10002,92 Rivington St
25,2 days ago,1,1, New York ,3250,800,NY ,10002,568 Grand St APT J1902
1,2 hours ago,2,2, New York ,7950,1250,NY ,10003,80 4th Ave PH B
4,2 hours ago,1,1, New York ,4500,697,NY ,10003,25 E 10th St APT 6E
9,5 hours ago,2,3, New York ,6495,1400,NY ,10003,105 E 9th St # 2FL
14,10 hours ago,1,1, New York ,2200,300,NY ,10003,236 E 13th St APT 1
21,1 day ago,2,4, New York ,11000,1850,NY ,10003,56 E 13th St APT 1
7,8 hours ago,1,2, New York ,3000,800,NY ,10009,168 Avenue B # 5
11,1 day ago,1,3, New York ,4095,775,NY ,10009,346 E 10th St APT 8
21,1 day ago,1,2, New York ,2990,575,NY ,10009,631 E 11th St APT 12A
23,1 day ago,1,2, New York ,3375,800,NY ,10009,394 E 8th St # 16
1,1 day ago,2,2, New York ,9500,1544,NY ,10004,10 West St APT 21A
3,2 days ago,2,2, New York ,7000,1190,NY ,10004,30 West St # PH-2G
15,66 days ago,1,1, Manhattan ,2999,575,NY ,10004,21-23 S William St # 6C
14,9 days ago,1,1, New York ,3100,734,NY ,10005,15 Broad St FRNT 2
15,14 days ago,1,2, New York ,4200,800,NY ,10005,56 Pine St APT 6G
21,24 days ago,2,2, New York ,7200,1325,NY ,10005,15 William St APT 33A
23,31 days ago,2,2, New York ,5500,1454,NY ,10005,15 Broad St APT 730
24,37 days ago,2,2, New York ,6595,1549,NY ,10005,67 Liberty St APT 4
9,8 days ago,1,1, New York ,3200,950,NY ,10006,120 Cedar St APT 4B
6,2 days ago,2,4, New York ,15900,1850,NY ,10007,106 Duane St APT 5
